Indicator Name,Indicator Code,ZAF,GHA,COD,KEN,ZWE,NGA,total
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,62,16,62,62,45,40,287
Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,61,53,22,54,42,55,287
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,62,16,62,62,45,40,287
"Air transport, passengers carried",IS.AIR.PSGR,52,47,38,52,45,52,286
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,52,47,38,52,45,52,286
Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,23,61,39,60,42,60,285
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,52,46,51,45,32,59,285
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,28,52,49,52,52,52,285
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,52,45,38,52,46,52,285
Refugee population by country or territory of asylum,SM.POP.REFG,30,48,63,53,43,47,284
Refugee population by country or territory of origin,SM.POP.REFG.OR,57,46,59,37,47,38,284
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,24,52,52,52,52,52,284
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,28,51,51,51,51,51,283
"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,62,16,54,58,52,41,283
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,29,51,62,49,43,49,283
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,62,16,54,58,52,41,283
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,51,51,27,51,51,51,282
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,51,51,27,51,51,51,282
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,51,51,27,51,51,51,282
"PPG, official creditors (NFL, current US$)",DT.NFL.OFFT.CD,23,52,51,52,52,52,282
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,23,52,51,52,52,52,282
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,51,51,27,51,51,51,282
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,51,51,27,51,51,51,282
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,61,55,30,49,40,46,281
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,23,52,49,52,52,52,280
"PPG, private creditors (NFL, current US$)",DT.NFL.PRVT.CD,28,52,46,52,52,50,280
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,29,52,52,52,42,52,279
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,50,50,27,50,50,51,278
Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,50,50,27,50,50,51,278
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,50,50,27,50,50,51,278
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,50,50,27,50,50,51,278
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,23,52,46,52,52,52,277
Net secondary income (Net current transfers from abroad) (current LCU),NY.TRF.NCTR.CN,63,51,33,58,33,38,276
Net secondary income (Net current transfers from abroad) (current US$),NY.TRF.NCTR.CD,63,51,33,58,33,38,276
"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,41,47,47,47,47,47,276
"Net financial flows, bilateral (NFL, current US$)",DT.NFL.BLAT.CD,23,52,47,52,52,49,275
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,29,55,38,57,42,53,274
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,29,57,27,57,48,55,273
Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS,23,58,47,48,40,57,273
"Industry (including construction), value added (constant LCU)",NV.IND.TOTL.KN,63,17,55,59,36,42,272
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,63,17,55,59,36,42,272
Net ODA received (% of gross capital formation),DT.ODA.ODAT.GI.ZS,29,55,28,58,60,41,271
Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,45,45,45,45,45,45,270
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,45,45,45,45,45,45,270
"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,45,45,45,45,45,45,270
Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,45,45,45,45,45,45,270
"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,45,45,45,45,45,45,270
Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,45,45,45,45,45,45,270
"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,45,45,45,45,45,45,270
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,29,43,42,58,49,48,269
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,62,16,54,58,35,41,266
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,44,44,44,44,44,44,264
Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,28,52,28,52,52,52,264
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,44,44,44,44,44,44,264
CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,44,44,44,44,44,44,264
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,44,44,44,44,44,44,264
External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,28,52,28,52,52,52,264
CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,44,44,44,44,44,44,264
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,44,44,44,44,44,44,264
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,44,44,44,44,44,44,264
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,44,44,44,44,44,44,264
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,44,44,44,44,43,44,263
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,44,44,44,44,43,44,263
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,44,44,44,44,43,44,263
"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,53,44,29,47,44,46,263
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,44,44,44,44,43,44,263
CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,44,44,44,44,43,44,263
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,53,44,29,47,44,46,263
Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,44,44,44,44,43,44,263
"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,28,50,56,44,42,42,262
Public and publicly guaranteed debt service (% of GNI),DT.TDS.DPPG.GN.ZS,28,52,25,52,52,52,261
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,29,52,52,52,52,23,260
Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,63,17,29,63,46,41,259
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,63,17,29,63,46,41,259
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,63,17,29,63,46,41,259
"Primary education, pupils",SE.PRM.ENRL,39,48,38,43,43,46,257
"School enrollment, primary (% gross)",SE.PRM.ENRR,39,48,38,43,43,46,257
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,29,49,35,51,42,48,254
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,42,42,42,42,42,42,252
Import unit value index (2015 = 100),TM.UVI.MRCH.XD.WD,42,42,42,42,42,42,252
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,2,52,52,52,41,52,251
"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,63,47,17,47,30,46,250
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,63,47,17,47,30,46,250
"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,63,47,17,47,30,46,250
Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,63,47,17,47,30,46,250
"Net errors and omissions (BoP, current US$)",BN.KAC.EOMS.CD,63,47,17,47,30,46,250
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,63,47,17,47,30,46,250
Commercial service exports (current US$),TX.VAL.SERV.CD.WT,63,47,17,47,30,46,250
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,63,47,17,47,30,46,250
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,63,47,17,47,30,46,250
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,63,47,17,47,30,46,250
"Travel services (% of service exports, BoP)",BX.GSR.TRVL.ZS,63,47,17,47,30,46,250
Total reserves in months of imports,FI.RES.TOTL.MO,63,47,17,47,30,46,250
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,63,47,17,47,30,46,250
"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,63,47,17,47,30,46,250
"Transport services (% of service exports, BoP)",BX.GSR.TRAN.ZS,63,47,17,47,30,46,250
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,63,47,17,47,30,46,250
Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,63,47,17,47,30,46,250
Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,63,47,17,47,30,46,250
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,63,47,17,47,30,46,250
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,63,47,17,47,30,46,250
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,63,47,17,47,30,46,250
Commercial service imports (current US$),TM.VAL.SERV.CD.WT,63,47,17,47,30,46,250
"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,63,47,17,47,30,46,250
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,63,47,17,47,30,46,250
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,53,44,18,53,36,46,250
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,63,47,17,47,30,46,250
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,63,47,17,47,30,46,250
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,53,44,18,53,36,46,250
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,63,47,17,47,30,46,250
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,63,47,17,47,30,46,250
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,63,47,17,47,30,46,250
"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,63,47,17,47,30,45,249
Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,63,47,17,47,30,45,249
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,63,47,17,47,30,45,249
"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,63,47,17,47,30,45,249
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,63,47,17,47,30,45,249
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,63,47,17,47,30,45,249
Travel services (% of commercial service imports),TM.VAL.TRVL.ZS.WT,63,47,17,47,30,45,249
"Services, value added (current LCU)",NV.SRV.TOTL.CN,63,39,29,17,58,42,248
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,19,52,46,46,44,41,248
"Services, value added (current US$)",NV.SRV.TOTL.CD,63,39,29,17,58,42,248
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,63,39,29,17,58,42,248
"Services, value added (constant LCU)",NV.SRV.TOTL.KN,63,17,55,17,53,42,247
"Services, value added (constant 2015 US$)",NV.SRV.TOTL.KD,63,17,55,17,53,42,247
Import volume index (2000 = 100),TM.QTY.MRCH.XD.WD,41,41,41,41,41,41,246
Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,41,41,41,41,41,41,246
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,26,40,51,47,41,41,246
Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,41,41,41,41,41,41,246
Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,41,41,41,41,41,41,246
Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,41,41,41,41,41,41,246
"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,33,45,38,43,40,46,245
"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,33,45,38,43,40,46,245
"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,33,45,38,43,40,46,245
Gross savings (% of GDP),NY.GNS.ICTR.ZS,63,47,17,47,30,41,245
Gross savings (current US$),NY.GNS.ICTR.CD,63,47,17,47,30,41,245
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,63,47,17,47,30,41,245
Gross savings (current LCU),NY.GNS.ICTR.CN,63,47,17,47,30,41,245
"IMF repurchases and charges (TDS, current US$)",DT.TDS.DIMF.CD,28,52,52,48,41,23,244
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,52,50,52,37,52,243
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,62,16,54,16,52,41,241
Insurance and financial services (% of commercial service imports),TM.VAL.INSF.ZS.WT,63,47,17,47,22,44,240
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,63,47,17,47,22,44,240
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,39,42,42,38,41,38,240
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,63,37,17,47,30,46,240
"Net official flows from UN agencies, UNFPA (current US$)",DT.NFL.UNFP.CD,28,43,43,43,39,43,239
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,39,42,41,38,41,38,239
Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,63,47,17,47,18,46,238
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,63,47,17,47,18,46,238
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,22,37,42,48,36,50,235
"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD,24,36,33,40,52,50,235
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,28,45,38,52,42,29,234
Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,39,39,39,39,39,39,234
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,28,45,38,52,42,29,234
Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,39,39,39,39,39,39,234
Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,39,39,39,39,39,39,234
Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,39,39,39,39,39,39,234
Ores and metals imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,43,48,19,41,34,48,233
Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,43,48,19,41,34,48,233
Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,43,48,19,41,34,48,233
Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,43,48,19,41,34,48,233
Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,43,48,19,41,34,48,233
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,59,48,28,59,10,28,232
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,59,48,28,59,10,28,232
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,27,40,29,48,41,47,232
Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,59,48,28,59,10,28,232
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,63,24,31,47,30,36,231
Final consumption expenditure (constant LCU),NE.CON.TOTL.KN,63,17,30,63,17,41,231
Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD,63,17,30,63,17,41,231
"Net financial flows, others (NFL, current US$)",DT.NFL.MOTH.CD,11,46,46,45,40,42,230
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,42,47,17,41,34,48,229
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,42,47,17,41,34,48,229
Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,42,47,17,41,34,48,229
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,42,47,17,41,34,48,229
Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,42,47,17,41,34,48,229
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,51,46,16,45,30,40,228
Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,51,46,16,45,30,40,228
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,51,46,16,45,30,40,228
Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,63,17,30,63,13,41,227
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,63,17,30,63,13,41,227
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,63,17,30,63,13,41,227
Households and NPISHs Final consumption expenditure (constant 2015 US$),NE.CON.PRVT.KD,63,17,30,63,13,41,227
"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,50,46,16,45,30,40,227
General government final consumption expenditure (constant 2015 US$),NE.CON.GOVT.KD,63,17,30,63,13,41,227
Gross capital formation (constant 2015 US$),NE.GDI.TOTL.KD,63,17,30,63,13,41,227
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,50,46,16,45,30,40,227
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,63,17,30,63,13,41,227
Gross national expenditure (constant 2015 US$),NE.DAB.TOTL.KD,63,17,30,63,13,41,227
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,63,17,30,63,13,41,227
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,44,45,11,42,37,47,226
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,53,35,17,45,30,46,226
"Primary education, pupils (% female)",SE.PRM.ENRL.FE.ZS,30,44,36,42,32,42,226
"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,44,45,11,42,37,47,226
Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,30,42,38,37,38,41,226
Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,62,16,29,62,16,40,225
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,38,47,17,47,30,46,225
Deposit interest rate (%),FR.INR.DPST,22,44,15,53,37,53,224
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,23,36,24,39,51,50,223
Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG,62,16,29,62,12,40,221
General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,62,16,29,62,12,40,221
GNI (constant 2015 US$),NY.GNP.MKTP.KD,63,17,28,59,13,41,221
GNI (constant LCU),NY.GNP.MKTP.KN,63,17,28,59,13,41,221
Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,62,16,29,62,12,40,221
GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,63,17,28,59,13,41,221
GNI per capita (constant LCU),NY.GNP.PCAP.KN,63,17,28,59,13,41,221
Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,62,16,29,62,12,40,221
Gross national expenditure deflator (base year varies by country),NE.DAB.DEFL.ZS,63,17,28,59,13,41,221
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,28,47,16,47,35,45,218
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,28,47,16,47,35,45,218
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,63,17,23,59,13,42,217
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,62,16,27,58,12,40,215
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,29,47,17,47,30,45,215
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,28,49,,45,41,52,215
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,62,16,27,58,12,40,215
"Short-term debt (% of exports of goods, services and primary income)",DT.DOD.DSTC.XP.ZS,28,47,17,47,30,45,214
"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",DT.TDS.DPPG.XP.ZS,28,47,17,47,30,45,214
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,58,30,28,59,10,28,213
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,63,17,30,44,13,41,208
Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,63,17,30,44,13,41,208
"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,31,51,26,31,34,34,207
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,31,51,26,31,34,34,207
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,31,51,26,31,34,34,207
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,31,51,26,31,34,34,207
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,31,51,26,31,34,34,207
"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,31,51,26,31,34,34,207
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,31,51,26,31,34,34,207
"Net official flows from UN agencies, UNTA (current US$)",DT.NFL.UNTA.CD,15,40,39,40,29,40,203
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,62,16,29,43,12,40,202
"Net official flows from UN agencies, WFP (current US$)",DT.NFL.WFPG.CD,8,51,46,46,35,15,201
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",DC.DAC.NZLL.CD,29,37,10,44,49,31,200
"Secondary education, pupils",SE.SEC.ENRL,27,41,31,30,35,35,199
Changes in inventories (constant LCU),NE.GDI.STKB.KN,63,17,29,44,5,41,199
"School enrollment, secondary (% gross)",SE.SEC.ENRR,27,41,31,30,35,35,199
"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,33,33,33,33,33,33,198
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,33,33,33,33,33,33,198
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,33,33,33,33,33,33,198
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,33,33,33,33,33,33,198
GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD,33,33,33,33,33,33,198
GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,33,33,33,33,33,33,198
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,33,33,33,33,33,33,198
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,33,33,33,33,33,33,198
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,33,33,33,33,33,33,198
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,33,33,33,33,33,33,198
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,33,33,33,33,33,33,198
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,33,33,33,33,33,33,198
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,33,33,33,33,33,33,198
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,33,33,33,33,33,33,198
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,33,33,33,33,33,33,198
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,33,33,33,33,33,33,198
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,33,33,33,33,33,33,198
"Labor force, total",SL.TLF.TOTL.IN,33,33,33,33,33,33,198
"Secondary education, general pupils",SE.SEC.ENRL.GC,30,45,22,42,35,22,196
Chemicals (% of value added in manufacturing),NV.MNF.CHEM.ZS.UN,59,29,10,59,10,28,195
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,33,33,29,33,33,33,194
Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,50,15,27,50,12,40,194
Lending interest rate (%),FR.INR.LEND,63,,16,51,11,53,194
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,50,15,27,50,12,40,194
GNI: linked series (current LCU),NY.GNP.MKTP.CN.AD,33,33,29,33,33,33,194
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,33,33,29,33,33,33,194
Real interest rate (%),FR.INR.RINR,62,,16,51,11,53,193
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,32,32,32,32,32,32,192
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,32,32,32,32,32,32,192
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,32,32,32,32,32,32,192
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,32,32,32,32,32,32,192
Households and NPISHs final consumption expenditure: linked series (current LCU),NE.CON.PRVT.CN.AD,33,33,29,33,32,32,192
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,32,32,32,32,32,32,192
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,32,32,32,32,32,32,192
Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14,32,32,32,32,32,32,192
Number of deaths ages 10-14 years,SH.DTH.1014,32,32,32,32,32,32,192
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,32,32,32,32,32,32,192
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,32,32,32,32,32,32,192
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,32,32,32,32,32,32,192
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,32,32,32,32,32,32,192
"Probability of dying among youth ages 20-24 years (per 1,000)",SH.DYN.2024,32,32,32,32,32,32,192
